825,0,61,239
830,0,71,235
835,0,81,231
840,0,90,227
845,0,100,222
850,0,118,212
855,0,127,207
860,0,136,201
865,0,144,195
870,0,152,188
875,0,160,182
880,0,175,167
885,0,182,160
890,0,188,152
895,0,195,144
900,0,201,136
905,0,207,127
910,0,217,109
915,0,222,100
920,0,227,90
925,0,231,81
930,0,235,71
935,0,239,61
940,0,246,40
945,0,248,30
950,0,251,20
955,0,253,10
960,0,255,0
965,0,255,0
970,0,255,20
975,0,255,30
980,0,255,40
985,0,255,51
990,0,255,61
995,0,255,71
1000,0,255,90
1005,0,255,100
1010,0,255,109
1015,0,255,118
1020,0,255,127
1025,0,255,136
1030,0,255,152
1035,0,255,160
1040,0,255,167
1045,0,255,175
1050,0,255,182
1055,0,255,188
1060,0,255,201
1065,0,255,207
1070,0,255,212
1075,0,255,217
1080,0,255,222
1085,0,255,227
1090,0,255,231
1095,0,255,239
1100,0,255,242
1105,0,255,246
1110,0,255,248
1115,0,255,251
1120,0,255,253
1125,0,255,255
1130,10,253,253
1135,20,251,251
1140,30,248,248
1145,40,246,246
1150,51,242,242
1155,71,235,235
1160,81,231,231
1165,90,227,227
1170,100,222,222
1175,109,217,217
1180,118,212,212
1185,136,201,201
1190,144,195,195
1195,152,188,188
1200,160,182,182
1205,167,175,175
1210,175,167,167
1215,188,152,152
1220,195,144,144
1225,201,136,136
1230,207,127,127
1235,212,118,118
1240,217,109,109
1245,227,90,90
1250,231,81,81
1255,235,71,71
1260,239,61,61
1265,242,51,51
1270,246,40,40
1275,251,20,20
1280,253,10,10
1285,255,0,0
1290,255,0,0
1295,255,0,10
1300,255,0,20
1305,255,0,40
1310,255,0,51
1315,255,0,61
1320,255,0,71
1325,255,0,81
1330,255,0,90
1335,255,0,109
1340,255,0,118
1345,255,0,127
1350,255,0,136
1355,255,0,144
1360,255,0,152
1365,255,0,160
1370,255,0,175
1375,255,0,182
1380,255,0,188
1385,255,0,195
1390,255,0,201
1395,255,0,207
1400,255,0,217
1405,255,0,222
1410,255,0,227
1415,255,0,231
1420,255,0,235
1425,255,0,239
1430,255,0,246
1435,255,0,248
1440,255,0,251
1445,255,0,253
1450,255,0,255
1455,255,0,255
1460,255,20,251
1465,255,30,248
1470,255,40,246
1475,255,51,242
1480,255,61,239
1485,255,71,235
1490,255,90,227
1495,255,100,222
1500,255,109,217
1505,255,118,212
1510,255,127,207
1515,255,136,201
1520,255,152,188
1525,255,160,182
1530,255,167,175
1535,255,175,167
1540,255,182,160
1545,255,188,152
1550,255,201,136
1555,255,207,127
1560,255,212,118
1565,255,217,109
1570,255,222,100
1575,255,227,90
1580,255,235,71
1585,255,239,61
1590,255,242,51
1595,255,246,40
1600,255,248,30
1605,255,251,20
1610,255,255,0
1615,255,255,0
1620,255,255,10
1625,255,255,20
1630,255,255,30
1635,255,255,40
1640,255,255,51
1645,255,255,71
1650,255,255,81
1655,255,255,90
1660,255,255,100
1665,255,255,109
1670,255,255,118
1675,255,255,136
1680,255,255,144
1685,255,255,152
1690,255,255,160
1695,255,255,167
1700,255,255,175
1705,255,255,188
1710,255,255,195
1715,255,255,201
1720,255,255,207
1725,255,255,212
1730,255,255,217
1735,255,255,227
1740,255,255,231
1745,255,255,235
1750,255,255,239
1755,255,255,242
1760,255,255,246
1765,255,255,251
1770,255,255,253
1775,255,255,255
1780,255,255,255
1785,255,255,255
1790,255,255,255
1795,255,255,255
1800,255,255,255
1805,255,255,255
1810,255,255,255
1815,255,255,255
1820,255,255,255
1825,255,255,255
1830,255,255,255
1835,255,255,255
1840,255,255,255
1845,255,255,255
1850,255,255,255
1855,255,255,255
1860,255,255,255
1865,255,255,255
1870,255,255,255
1875,255,255,255
1880,255,255,255
1885,255,255,255
1890,255,255,255
1895,255,255,255
